News Cite,Date,Label,Author,Title,Link,Israel,Palestine,Hamas,Anti-Semetic,Gaza,Killed,Attack,Death,Hostage,Genocide,Ceasefire,Aid,Tone,Voice - ed,Voice - ing,Voice,Israel Active,Hamas Active,Gaza Active
New York Times,12/06/23,Politics,Annie Karni,Questioning University Presidents on Anti-Semitism  Stefanik Goes Viral,https://www.nytimes.com/2023/12/07/us/politics/elise-stefanik-antisemitism-congress.html?searchResultPosition=13,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,negative,passive,Active,Active,FALSE,FALSE,FALSE
New York Times,12/06/23,New York,"Grace Ashford, Jay Root",Man Is Arrested After Firing Gun Near Albany Synagogue,https://www.nytimes.com/2023/12/07/nyregion/temple-israel-albany-shots-fired.html,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,negative,Active,Active,Active,FALSE,FALSE,FALSE
New York Times,12/06/23,Middle East,"Liam Stack, Yara Bayoumy, Aric Toler, Lauren Leatherby, Michael Levenson",Israel accuses Hamas of firing rockets from 'humanitarian zones',"https://www.nytimes.com/2023/12/07/world/middleeast/israel-hamas-Gaza-rockets.html#:~:text=Israel%20accused%20Hamas%20on%20Thursday,be%20truly%20safe%20for%20civilians.",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,negative,passive,Active,Active,TRUE,TRUE,FALSE
New York Times,12/06/23,Middle East,"Aric Toler, Lauren Leatherby",Here is what we know about Israel's evidence that Hamas fired rockets from safe zones,"https://www.nytimes.com/2023/12/08/world/middleeast/here-is-what-we-know-about-israels-evidence-that-hamas-fired-rockets-from-safe-zones.html#:~:text=safe%2Dzones.html-,Here%20is%20what%20we%20know%20about%20Israel's%20evidence,fired%20rockets%20from%20safe%20zones.&text=Israel%20released%20maps%2C%20satellite%20photos,the%20displaced%20and%20a%20U.N.",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,negative,Active,passive,Active,FALSE,FALSE,FALSE
New York Times,12/06/23,Middle East,Jacey Fortin,For Some the Symbols of Hanukkah Bring Extra Concern This Year,"https://www.nytimes.com/2023/12/07/us/hanukkah-menorah-lightings-safety.html#:~:text=For%20Some%2C%20the%20Symbols%20of,questions%20of%20meaning%20and%20safety.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,positive,passive,Active,Active,FALSE,FALSE,FALSE
New York Times,12/06/23,Middle East,"Matthew Mpoke Bigg, Hwaida Saad",Killing of Reuters Journalist Was Apparently Deliberate Israeli Strike Group Says,https://www.nytimes.com/2023/12/07/world/middleeast/reuters-journalist-killed-lebanon-israel-hrw.html,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,negative,passive,Active,Active,TRUE,FALSE,FALSE
New York Times,12/06/23,Middle East,Adam Goldman,How Israel Is Using Real-Time Battlefield Intelligence to Target Hamas,https://www.nytimes.com/2023/12/07/world/middleeast/israel-hamas-battlefield-intelligence.html,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,positive,passive,Active,Active,TRUE,TRUE,FALSE
New York Times,12/06/23,Middle East,Alex Marshall,German Cultural Scene Navigates a Clampdown on Criticism of Israel,https://www.nytimes.com/2023/12/07/arts/design/germany-arts-cancellations-israel-palestinians.html,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,negative,passive,passive,Passive,FALSE,FALSE,FALSE
New York Times,12/06/23,Middle East,"Liam Stack , Yara Bayoumy ",Israel Says Hamas Fired Rockets From Near Gaza Shelters,https://www.nytimes.com/live/2023/12/07/world/israel-hamas-war-Gaza-news#israel-claims-about-al-mawasi-add-to-concerns-that-nowhere-in-Gaza-is-safe-for-civilians,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,negative,Active,passive,Active,FALSE,FALSE,FALSE
New York Times,12/06/23,Middle East,The New York Times,British defense minister says the Palestinian Authority would need improvements before ever assuming governance of Gaza,https://www.nytimes.com/live/2023/12/07/world/israel-hamas-war-Gaza-news/british-defense-minister-says-the-palestinian-authority-would-need-improvements-before-ever-assuming-governance-of-Gaza?smid=url-share,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,negative,Active,Active,Active,FALSE,FALSE,TRUE
