URL,Date,Section,Author,Title,Subtitle
https://www.nytimes.com/2023/10/07/world/middleeast/israel-gaza-attack.html?searchResultPosition=1,"Oct. 7, 2023",MIDDLE EAST,By Patrick Kingsley and Isabel Kershner,Here is what to know about the surprise attack on Israel.,Sirens sounded across southern and central Israel early Saturday as salvos of rockets hit Israeli cities and gunmen crossed the border from Gaza.
https://www.nytimes.com/live/2023/10/07/world/israel-gaza-attack/israel-gaza-militants-infiltrate?searchResultPosition=2,"Oct. 7, 2023",MIDDLE EAST,By Isabel Kershner,Militants stage a large-scale infiltration into Israel.,"The ground assault immediately evoked the hostage-taking attacks that scarred Israel in 2006, but it was unclear whether any Israelis might have been seized this time."
https://www.nytimes.com/live/2023/10/07/world/israel-gaza-attack/in-gaza-some-cheer-returning-fighters-as-others-brace-for-israels-response?searchResultPosition=3,"Oct. 7, 2023",MIDDLE EAST,By Raja Abdulrahim,"In Gaza, some cheer returning fighters as others brace for Israel’s response.",
https://www.nytimes.com/2023/10/07/world/middleeast/saudi-israel-gaza-war.html?searchResultPosition=4,"Oct. 7, 2023",MIDDLE EAST,By Edward Wong and Vivian Nereim,The war could upend Biden’s diplomacy on Saudi-Israel normalization.,Many Sau
https://www.nytimes.com/2023/10/07/briefing/plant-people.html?searchResultPosition=5,"Oct. 7, 2023",BRIEFING,By Melissa Kirsch,Meet the Plant People,"For some, tending to our humble home gardens, dreaming of lush green splendor, is a pastime. For others, it’s a calling."
https://www.nytimes.com/live/2023/10/07/world/israel-gaza-attack/violence-between-palestinians-and-israelis-has-been-seething-for-months?searchResultPosition=6,"Oct. 7, 2023",MIDDLE EAST,By Aaron Boxerman,Violence between Palestinians and Israelis has been seething for months.,
https://www.nytimes.com/2023/10/07/world/middleeast/for-many-israelis-the-attacks-have-haunting-echoes-of-the-1973-yom-kippur-war.html?searchResultPosition=8,"Oct. 7, 2023",MIDDLE EAST,By Isabel Kershner,Hamas Attack Has Haunting Echoes of the 1973 Yom Kippur War,"For many Israelis, Hamas’s surprise attack mirrors one carried out 50 years ago, setting off a 19-day war that traumatized the nation."
https://www.nytimes.com/live/2023/10/07/world/israel-gaza-attack/the-militants-statement-cited-the-aqsa-mosque-heres-why-it-matters?searchResultPosition=9,"Oct. 7, 2023",MIDDLE EAST,By Emma Bubola,The militants’ statement cited the Aqsa Mosque. Here’s why it matters.,
https://www.nytimes.com/live/2023/10/07/world/israel-gaza-attack/the-attacks-draw-condemnation-from-western-powers-with-hamas-singled-out-for-criticism?searchResultPosition=10,"Oct. 7, 2023",MIDDLE EAST,By Emma Bubola,"The attacks draw condemnation from Western powers, with Hamas singled out for criticism.",
https://www.nytimes.com/live/2023/10/07/world/israel-gaza-attack/hezbollah-says-it-is-in-touch-with-hamas-and-monitoring-the-attack?searchResultPosition=11,"Oct. 7, 2023",MIDDLE EAST,By Euan Ward and Hwaida Saad,Hezbollah says it is in touch with Hamas and monitoring the attack.,
https://www.nytimes.com/2023/10/07/world/middleeast/gaza-blockade-israel.html?searchResultPosition=12,"Oct. 7, 2023",MIDDLE EAST,By Raja Abdulrahim,Gaza Has Suffered Under 16-Year Blockade,"Held in place by Israel and Egypt, the blockade restricts imports to the region and prevents most people from leaving."
https://www.nytimes.com/live/2023/10/07/world/israel-gaza-attack/iran-a-longtime-backer-of-hamas-cheers-the-attacks?searchResultPosition=13,"Oct. 7, 2023",MIDDLE EAST,By Farnaz Fassihi and Leily Nikounazar,"Iran, a longtime backer of Hamas, cheers the attacks.",
https://www.nytimes.com/2023/10/07/world/middleeast/israel-gaza-war-hamas-palestinians.html?searchResultPosition=14,"Oct. 7, 2023",MIDDLE EAST,By Steven Erlanger,An Attack From Gaza and an Israeli Declaration of War. Now What?,Prime Minister Benjamin Netanyahu is being pressured to launch a full-scale invasion that Israeli leaders have been scrupulously avoiding since 2005.
https://www.nytimes.com/2023/10/07/world/middleeast/hamas-hostages-israel-video.html?searchResultPosition=15,"Oct. 7, 2023",MIDDLE EAST,By Riley Mellen and Aaron Boxerman,Israel’s Military Says Hamas Has Taken Hostages,"The issue of Israelis in captivity is a deeply emotional and explosive one in Israel, with the government having paid a high price in the past for the return of its citizens."
https://www.nytimes.com/live/2023/10/07/world/israel-gaza-attack/biden-desantis-us-politicians-israel?searchResultPosition=16,"Oct. 7, 2023",MIDDLE EAST,By Gaya Gupta,Biden and other U.S. leaders condemn the Hamas attacks on Israel.,
https://www.nytimes.com/2023/10/07/world/middleeast/gaza-hospitals-morgues.html?searchResultPosition=17,"Oct. 7, 2023",MIDDLE EAST,By Raja Abdulrahim and Ameera Harouda,Hospitals and Morgues in Gaza Are Crowded as People Seek Their Loved Ones,"The Palestinian Health Ministry in Gaza said 198 Palestinians had been killed and 1,610 wounded."
https://www.nytimes.com/2023/10/07/world/middleeast/israel-gaza-war-scene.html?searchResultPosition=18,"Oct. 7, 2023",MIDDLE EAST,By Isabel Kershner and Raja Abdulrahim,‘The Children Were Terrified.’ Fear Grips Israel and Gaza,"As Hamas launched a surprise attack on southern Israel, Israelis huddled in shelters and Gazans flocked to supermarkets, fearing the Israeli military response."
https://www.nytimes.com/2023/10/07/world/middleeast/israel-defense-hamas-gaza.html?searchResultPosition=19,"Oct. 7, 2023",MIDDLE EAST,By Ronen Bergman,Israel’s defense failures may change strategy toward Hamas and Gaza.,"The broad attack by Palestinian militants, which Hamas viewed as mostly successful, revealed some significant failures."
https://www.nytimes.com/2023/10/07/us/politics/republicans-israel-iran-hamas.html?searchResultPosition=20,"Oct. 7, 2023",POLITICS,By Neil Vigdor,G.O.P. Candidates Use Attacks on Israel to Criticize Biden for His Iran Deal,Republicans renewed their opposition to President Biden’s decision to unfreeze $6 billion for humanitarian purposes as part of recent hostage release negotiations.
https://www.nytimes.com/2023/10/07/world/middleeast/twitter-x-violence-israel-gaza.html?searchResultPosition=21,"Oct. 7, 2023",MIDDLE EAST,By Sheera Frenkel,Graphic Images of Violence Flood Social Media Amid Israel-Gaza Conflict,"There is a long history of misinformation being shared among Israeli and Palestinian groups, with false claims and conspiracy theories rising during moments of heightened violence in the region."
https://www.nytimes.com/2023/10/07/opinion/gaza-israel-hamas.html?searchResultPosition=22,"Oct. 7, 2023",OPINION,By Bret Stephens,Hamas’s Control of Gaza Must End Now,"Peace can soon follow, as it did after the Yom Kippur War."
https://www.nytimes.com/live/2023/10/07/world/israel-gaza-attack/some-israelis-are-barricading-themselves-in-their-homes-pleading-for-help?searchResultPosition=23,"Oct. 7, 2023",MIDDLE EAST,By Isabel Kershner,"Some Israelis are barricading themselves in their homes, pleading for help.",
https://www.nytimes.com/live/2023/10/07/world/israel-gaza-attack/biden-condemns-the-attack-on-israel-and-warns-iran-not-to-seek-advantage?searchResultPosition=24,"Oct. 7, 2023",MIDDLE EAST,By Michael D. Shear,Biden condemns the attack on Israel and warns Iran not to ‘seek advantage.’,
