URL,Date,Congress,Title,Congressional Record,Text
https://www.congress.gov/congressional-record/volume-169/issue-166/extensions-of-remarks-section/article/E948-3?q=%7B%22search%22%3A%22%5C%22Israel%5C%22+%5C%22Palestine%5C%22%22%7D&s=4&r=9,10/11/2023,House,SUPPORT OF BIPARTISAN RESOLUTION CONDEMNING HAMAS TERRORIST ATTACK,"Vol. 169, No. 166","Ms. McCOLLUM. Mr. Speaker Pro Tempore, I rise in support of 
condemning the outrageous Hamas terrorist attacks that have resulted in 
the senseless deaths of Israelis, Palestinians, and more than 20 
American citizens. Hundreds are missing and many are feared to be held 
hostage--including women, children, and even infants.
  Savagely attacking and killing innocent civilians is never justified. 
These crimes must be unequivocally condemned as they are clear 
violations of international human rights law.
  Hamas has a singular goal: to destroy Israel. Their attacks were not 
targeting the military or government; they were perpetrated against 
Israeli communities for the goal of destruction. Hamas uses fear, 
terror, and intimidation against Israelis and it uses the same tactics 
against the Palestinian people, putting targets on the backs of 
innocent people in Gaza. Nearly half of the population of Gaza are 
children--most having lived their entire lives under a brutal, 
devastating blockade that deprives them of basic human necessities and 
no prospect for a better future.
  I have a solemn responsibility as a Member of Congress to shape 
policy. I have spoken out against governments, extremist groups, those 
exerting power over marginalized populations--whether they are our 
enemies, our allies, or within our own nation--and I always speak up 
for those suffering and in defense of human rights. The October 7 
attack by Hamas was a gross violation of human rights. It crossed a red 
line.
  This was a strategic, coordinated, multi-modal attack by Hamas. It 
leaves deeply concerning questions about what happened in the lead-up 
to this massacre and what the future holds. Any response must consider 
the innocent lives at stake. The United States must not choose to 
escalate conflict with a knee-jerk reaction of providing more weapons 
for an offensive that will certainly take the lives of more innocent 
civilians and children. The reports of casualties in Israel and 
Palestine are stunning, and I fear these numbers will only grow in the 
coming days.
  This attack is not a far-away matter; it is hitting close to home. 
Mothers, fathers, the young, and the elderly--those near and far--are 
now living in unimaginable fear while mourning those they have lost. I 
am hearing from many Jewish constituents and community leaders who are 
in pain and who have loved ones among the injured, killed, or missing. 
I stand with them, I mourn with them, and I share their fear of what is 
to come.
  My hope and my dream for the future is for every Israeli child and 
every Palestinian child to be tucked into bed at night by their parents 
without fear of bombings and perpetual violence. All people deserve 
safety and security--and in the wake of this heinous attack, the 
international community is in agreement that Hamas must be stopped. The 
only sustainable path forward is one where international human rights 
and international law are at the forefront and democratic ideals are 
upheld."
https://www.congress.gov/congressional-record/volume-169/issue-169/senate-section/article/S4969-1?q=%7B%22search%22%3A%22%5C%22Israel%5C%22+%5C%22Palestine%5C%22%22%7D&s=4&r=10,10/16/2023,Senate ,Recognition of the Minority Leader (Executive Session),"Vol. 169, No. 169","The Republican leader is recognized.
  Mr. McCONNELL. Madam President, since the Senate last convened, 
terrorists have sent shock waves through the civilized world with 
savage, cold-blooded violence.
  On October 7, Hamas and Palestinian Islamic jihad desecrated Israel's 
soil and tore apart Israeli families with utterly medieval brutality. 
Like ISIS, terrorists from Gaza turned peaceful homes and neighborhoods 
in Israel into blood-soaked war zones. It was the deadliest attack on 
the Israelis and on American citizens overseas in decades.
  But now, reports and images of these horrific scenes have spread 
widely. Accounts of Israeli women tortured and raped, of elders 
kidnapped, of charred corpses, beheadings, of children shot dead in 
their homes have shaken peaceful people to their cores. In one kibbutz, 
a paramedic named Amit was working to save the lives of victims pouring 
into a local clinic when she documented what would be the last moments 
of her own life in messages to her sister. Here is what she said: 
``They are here. I don't think I will get out of here alive. Be strong 
if something happens to me.''
  A few minutes later, in a call from Amit's phone, all her sister 
could hear were gunshots and screams. One in 10 residents of the 
community were slaughtered by the terrorists.
  Here is how one retired senior IDF commander put it after he ran to 
rejoin Israel's defense efforts: ``I've heard during my childhood about 
pogroms in Europe, the Holocaust, of course. All my family came from 
Europe. They are survivors, but I never thought I would see things like 
this.''

  Madam President, the people of Israel are grieving unimaginable 
horrors, and we have a responsibility not to look away--not least 
because the same news that has shaken the civilized world to its core 
has emboldened anti-Semites and terrorist sympathizers across the 
globe. We have seen thousands of demonstrators cheer on terrorist 
violence from the streets of Western cities.
  In London, many Jewish children were kept home from school on Friday 
out of fears for their safety. In Chicago, a bomb threat forced a local 
synagogue to evacuate. In Sydney, Australia, a supposedly pro-
Palestinian gathering devolved into a sickening flashback to the worst 
stain on the last century of human history as demonstrators chanted: 
``Gas the Jews.'' And on college campuses across America, leftist 
student groups cloaked vile anti-Semitism in a thin veneer of 
performative, woke jargon.
  So, Madam President, friends of Israel simply cannot afford to be 
silent. And as Israel's closest ally, the United States must lead by 
our example in supporting its efforts to defend itself for as long as 
it takes. As I outlined over the State work period, this means loudly 
and clearly distinguishing between the aggressor and the victim in this 
war. No matter how many voices in the media attempt to ``both-sides'' a 
terrorist attack, there is simply no moral equivalence here.
  Responsibility for the murder of Israelis lies with the terrorists 
who pulled the trigger and the regime that arms and trains them, and 
responsibility for the suffering of the Palestinian people lies with 
the Hamas terrorists who consolidated power by flinging rival civilian 
officials off of rooftops, who use scarce building supplies to dig 
terror tunnels, to turn drinking water pipes into rocket launchers, and 
who use residents of Gaza as human shields.
  Make no mistake, the surest way to stop violence against Israelis and 
oppression of Palestinians is to wipe the terrorists like Hamas from 
the face of the Earth. To that end, the United States must continue to 
provide maximum support to Israel's counterterrorist operation as long 
as it takes. And just as importantly, we have to reestablish deterrence 
against the Iranian regime that not only directly threatens American's 
interest in a peaceful and stable Middle East, but also bears the blood 
of hundreds of Americans and plots to kill even more.
  America's disastrous withdrawal from Afghanistan, the desperate 
pursuit of a new nuclear deal, and the failure to respond decisively to 
attacks on U.S. forces in Syria have weakened our deterrence against 
the world's largest state sponsor of terror. America's weakness left 
our allies and partners with serious questions about the credibility of 
our commitments. And if we fail to present clear and devastating 
consequences of further violence against America, as well as our 
friends in Israel, we will make deterring an even bigger strategic 
adversary in Asia even more difficult.
  Reestablishing effective deterrence means investing in American 
military strength. It means investing in an industrial base that is 
capable of equipping both U.S. forces and our allies and partners to 
meet authoritarian oppression in Europe, in Asia, and in the Middle 
East, and it means responding to challenges with credible and 
unflinching resolve. This is a fundamental responsibility of governing. 
Full stop.
  I will have more to say in the coming days, but for right now, this 
is not merely a terrorist war against Israel. It is part of a clear and 
present danger to the United States and the entire civilized world.
  This, Madam President, is a time for choosing. As Israel works to 
eliminate the terrorists who threaten its existence, the United States 
must reaffirm our commitment to Israel's security, and we must continue 
to demonstrate by our leadership that no country should offer safe 
haven to those who aid and abet terror.
  I suggest the absence of a quorum.
  The ACTING PRESIDENT pro tempore. The clerk will call the roll.
  The legislative clerk proceeded to call the roll.
  Mrs. BLACKBURN. Madam President, I ask unanimous consent that the 
order for the quorum call be rescinded.
  The ACTING PRESIDENT pro tempore. Without objection, it is so 
ordered.
  Mrs. BLACKBURN. Madam President, well, we all know what has happened 
since October 7. Hamas has launched more than 6,000 rockets into 
Israel. They have sent more than 1,000 terrorists across the border to 
murder civilians. This is the most devastating slaughter of Jews since 
the Holocaust. They have killed more than 1,400 Israelis; 291 of them 
have been soldiers. They have taken 199 hostages, including an unknown 
number of Americans. This was also one of the deadliest terrorist 
attacks in our history. They killed 30 U.S. citizens, and 13 are still 
missing or are unaccounted for.
  Israel is the victim. Even the Biden White House has acknowledged 
that. This hasn't stopped several of my Democratic colleagues from 
calling for a cease-fire. All of this, also, has not stopped Black 
Lives Matter and other pro-Palestinian groups from glorifying the mass 
slaughter of Jews.
  Students for Justice, in Palestine, called it a ``historic win.''
  Jews in New York, Atlanta, Washington, DC, London, Berlin, and so 
many other cities around the globe are once again living in fear.
  Just this weekend, protesters in Nashville, TN, refused to condemn 
the horrific violence against the Israelis. Instead, they insisted that 
these innocent people had it coming because their government's politics 
don't line up with the radical left's talking points.
  This is, indeed, insanity. If we allow these positions to define our 
foreign policy, we put the lives of Israelis and Americans and our 
allies in danger.
  The United States designated Hamas as a foreign terrorist 
organization in

[[Page S4970]]

1997. Their stated goal is to destroy the State of Israel through 
jihad. Over the years, we have seen them commit acts of violence so 
